hour,n_trades,avg_return_pct,win_rate,avg_notional
0.0,3954,3954,0.3889731917046029,6475.220078401619
1.0,4000,4000,0.5295,4837.8470375
2.0,2928,2928,0.29030054644808745,6348.790478142077
3.0,3330,3330,0.34384384384384387,5606.1200390390395
4.0,4205,4205,0.3648038049940547,8335.923143876338
5.0,2991,2978,0.27248411902373787,9251.303704446673
6.0,4324,4324,0.3679463459759482,5145.274389454209
7.0,3287,3287,0.4752053544265287,8371.53108001217
8.0,3152,3152,0.4885786802030457,6565.875862944162
9.0,1866,1866,0.35852090032154343,5341.721243301179
10.0,2106,2106,0.5322886989553656,2385.812113010446
11.0,2149,2149,0.5146579804560261,3612.887677989763
12.0,2188,2188,0.5146252285191956,3427.6910831809873
13.0,1654,1654,0.36275695284159615,3672.0498548972187
14.0,3013,3013,0.3455028211085297,3048.3790906073677
15.0,3037,3037,0.5544945670069147,2347.9490582811986
16.0,1987,1987,0.49924509310518367,2864.1394715651736
17.0,2547,2547,0.4691794267765999,4741.555021594032
18.0,3408,3408,0.43720657276995306,6396.16808685446
19.0,4488,4488,0.41622103386809267,7733.9731840463455
20.0,5860,5860,0.46092150170648466,5535.722537542662
21.0,3635,3635,0.4200825309491059,5648.66835213205
22.0,3899,3899,0.3965119261349064,8300.406945370607
23.0,5217,5217,0.4031052328924669,6747.468265286563
